Year,Month,Product,Sub-product,Count
2013,12,Debt collection,Mortgage,92
2013,12,Debt collection,Non-federal student loan,73
2013,12,Debt collection,"Other (i.e. phone, health club, etc.)",637
2013,12,Debt collection,Payday loan,135
2013,12,Money transfers,Domestic (US) money transfer,30
2013,12,Money transfers,International money transfer,58
2013,12,Mortgage,Conventional adjustable mortgage (ARM),326
2013,12,Mortgage,Conventional fixed mortgage,931
2013,12,Mortgage,FHA mortgage,322
2013,12,Mortgage,Home equity loan or line of credit,135
2013,12,Mortgage,Other mortgage,1010
2013,12,Mortgage,Reverse mortgage,27
2013,12,Mortgage,Second mortgage,13
2013,12,Mortgage,VA mortgage,42
2013,12,"Payday loan, title loan, personal loan, or advance loan",(Blank),105
2013,12,Student loan,Non-federal student loan,300
2014,1,Bank account or service,(CD) Certificate of deposit,65
2014,1,Bank account or service,Cashing a check without an account,11
2014,1,Bank account or service,Checking account,860
2014,1,Bank account or service,Other bank product/service,217
2014,1,Bank account or service,Savings account,80
2014,1,Consumer Loan,Installment loan,61
2014,1,Consumer Loan,Personal line of credit,24
2014,1,Consumer Loan,Vehicle lease,26
2014,1,Consumer Loan,Vehicle loan,238
2014,1,Credit card or prepaid card,(Blank),1171
2014,1,"Credit reporting, credit repair services, or other personal consumer reports",(Blank),2318
2014,1,Debt collection,Auto,114
2014,1,Debt collection,Credit card,717
2014,1,Debt collection,Federal student loan,69
2014,1,Debt collection,I do not know,695
2014,1,Debt collection,Medical,306
2014,1,Debt collection,Mortgage,136
2014,1,Debt collection,Non-federal student loan,76
2014,1,Debt collection,"Other (i.e. phone, health club, etc.)",847
2014,1,Debt collection,Payday loan,262
2014,1,Money transfers,Domestic (US) money transfer,32
2014,1,Money transfers,International money transfer,60
2014,1,Mortgage,Conventional adjustable mortgage (ARM),448
2014,1,Mortgage,Conventional fixed mortgage,1179
2014,1,Mortgage,FHA mortgage,421
2014,1,Mortgage,Home equity loan or line of credit,178
2014,1,Mortgage,Other mortgage,1225
2014,1,Mortgage,Reverse mortgage,33
2014,1,Mortgage,Second mortgage,14
2014,1,Mortgage,VA mortgage,67
2014,1,"Payday loan, title loan, personal loan, or advance loan",(Blank),143
2014,1,Student loan,Non-federal student loan,352
2014,2,Bank account or service,(CD) Certificate of deposit,52
2014,2,Bank account or service,Cashing a check without an account,12
2014,2,Bank account or service,Checking account,827
2014,2,Bank account or service,Other bank product/service,192
2014,2,Bank account or service,Savings account,57
2014,2,Consumer Loan,Installment loan,46
2014,2,Consumer Loan,Personal line of credit,36
2014,2,Consumer Loan,Vehicle lease,15
2014,2,Consumer Loan,Vehicle loan,211
2014,2,Credit card or prepaid card,(Blank),1204
2014,2,"Credit reporting, credit repair services, or other personal consumer reports",(Blank),2491
2014,2,Debt collection,Auto,84
2014,2,Debt collection,Credit card,759
2014,2,Debt collection,Federal student loan,81
